,Emotion,Sentence
0,Other,"Số người mún ah Khoa cho xem mặt cameraman dựa vào đây 
👇👇"
1,Enjoyment,Kết mỗi câu :” Hầu như mọi người trên thế giới đều biết đến Việt Nam qua chiến tranh với Mỹ “ 😎
2,Enjoyment,9:30 giống trẻ trâu ai cập
3,Other,Ổng nói tiếng Anh mà giống tiếng Việt nghe mắc cười mà dễ thương xỉu😂
4,Other,""" mình ăn cho ông ấy biết mặt Việt Nam"". Anh ạ, biết mặt vn thì ai cũng muốn mỗi tội không có tiền thôi😂"
5,Sadness,Khoa vip quá..ai thấy đúng like phát😍
6,Sadness,""" con ghẹ tươi hông "" cười xỉu với ổng ."
7,Other,"Ae ah, ae cho tui lên top để làm thông dịch viên cho Khoa được ko, cứ tới đoạn giao tiếp tui coi tui bị méo mỏ quài ức chế quá 🤣🤣🤣"
8,Enjoyment,"Sau khi xem video của anh, với vốn tiếng anh của mình, em đủ tự tin để đi du lịch rồi, chỉ thiếu mỗi tiền nữa thôi🤧"
9,Enjoyment,"""...đồ ăn Việt Nam vẫn là ngon nhất..."" ủng hộ câu nói này của Khoa Pug"
10,Surprise,"Kết mấy câu: du yu nâu Việt nam,  how múc,  what do yu du."
11,Enjoyment,Tự hào là người ViệtNam gê luôn ❤
12,Enjoyment,"Sau này Khoa học tiếng anh rồi, xem lại mấy clips nói tiếng anh của khoa chắc cười bể bụng. Công nhận ông nội này liều thiệt..."
13,Other,ông nói tiếng anh mà tui cười ị :v vui vc
14,Other,Số người muốn Anh khoa đi học tiếnh Anh.  👇👇
15,Other,34:23 max volum :))
16,Enjoyment,27:29 bà cameraman bả la theo nữa =))
17,Other,Tui rất thích giao tiếp vs ng nc ngoàiii vì họ rất lịch sự vs hài hước😊
18,Enjoyment,"Bay qua Dubai reveiw đi anh Khoa ơi.
Ai thấy hợp lí cho xin 1 like để a.Khoa thấy nào
👇🏿"
19,Enjoyment,"4:00 tươi ko , trời mé lạy anh"
20,Surprise,"Khoái nhất ở khoa pug là tính tự nhiên , tự tin,mà ko phải ai cũng làm được ai nghĩ giống mình ko😊😊"
21,Enjoyment,19:00 tên Công Phượng kia
22,Enjoyment,Hahaa bộ Du lịch nên cân nhắc cho ông Khoa làm đại sứ Du lịch nha :))
23,Other,"Nghe cậu này nói tiếng Anh , càng thôi thúc mình đi học tiếng Anh :)))"
24,Surprise,"Khi Khoa đi du lịch cái mà Khoa đem theo nhiều nhất là tinh thần dân tộc Việt Nam.
Yêu kênh này lắm mãi theo dõi 2 bạn."
25,Other,4:22 giọng caramen là vk anh khoa :)))
26,Enjoyment,Phải thể hiện mình là người đàn ông lịch thiệp chứ. Thỉnh thoảng bón cho cameramen ăn cũng đc nè. Vừa tạo cho ng xem cảm giác mk đc ăn nữa 😂😂😂😂
27,Enjoyment,Thì ra trái penalty  tối qua công phượng sút qua tận Ai Cập...!!
28,Enjoyment,"mik thật sự rất thik những kênh du lịch khám phá như thế này,mong kênh Khoa Pug càng ngày càng phát triển"
29,Other,1:29 Khoái a chạy xe moto 🏍 rồi đấy 😂. Ở VN 🇻🇳 mình thì hiếm lắm mới gặp tình trạng nhường đường như thế
30,Enjoyment,Youtuber có lòng tự tôn dân tộc cao số 1.
31,Enjoyment,"Khoa said:'tiền ko quan trọng lắm,mình đi đốt tiền mà'
Chất thật"
32,Enjoyment,Mỗi lần xem là đói nên quyết định từ nay k xem khi đói nữa
33,Other,"mình dốt tiếng anh, nhưng mình không ngại nói, mình nói ngta hiểu thì hiểu không hiểu thì thôi. ahhah, nói chuẩn quá Khoa ơi, kết câu đó nhất"
34,Other,9:33 giống bà vanga quá v 😅
35,Other,Xem từ hồi mới lập kênh tới giờ giờ mới thấy pà karamen pã nhõng nhẻo 😂😂
36,Sadness,Thích nghe Khoa nói tiếng anh ghê😂😂cute
37,Other,"Giờ mới biết là chỉ cần how much 
What do you do
Thanks you
Ok "
38,Enjoyment,Vc ông chủ quán lại còn welcome back =]]]
39,Disgust,Hình như mình thấy mấy video Anh Khoa du lịch nước ngoài review các thứ  luôn có lượt xem rất cao .
40,Enjoyment,Khoa là con chú cảnh sát giao thông cạnh nhà mình nhé mn
41,Enjoyment,Nói thật sống như anh vậy thật sự xứng đáng....dành cả thanh xuân để đi du lịch
42,Enjoyment,27:43 lườm ghê chưa haha
43,Enjoyment,Ổng noi tiếng anh mà tui cười xỉu 😂😂
