,Emotion,Sentence
0,Other,"Review về Dubai đi anh Khoa. Ai đồng ý xin 1 like cho anh Khoa thấy nào
👇🏿👍"
1,Enjoyment,Nhìn ổng review đồ ăn mà mình chỉ biết ngậm ngùi lấy cây xúc xích cuối cùng trong tủ lạnh ra ăn cho đỡ thèm thui... :)))
2,Sadness,"Lao động nghèo như mình k bk chừng nào ngặm dc cái xương bò cube đừng có nói chi là đến thịt thôi lấy bịch khô bò 10k ra gặm đở😂😂😂
22/04/2020 mùa dịch corona ai còn xem k"
3,Enjoyment,"T mắc cười khúc đầu bếp chào xong cái ông Khoa hỏi ""bộ trc khi làm là mình phải chào z á hả a?"" ="")"
4,Surprise,"Khách hàng được phụ vụ như thượng đế!
Một câu xin phép... 2 câu xin phép!
Từ tiếp tân đến đầu bếp cung cách hơn 5*
Đầu bếp phục vụ tận răng!!!!!!"
5,Other,đi nhật bản đi ai ý giống mình xin like
6,Other,Anh làm quay phim 1 ngày cho caramen review đi a ai đồng ý cho 1 😍
7,Fear,Vô nhà vệ sinh mà ổng kêu hấp dẫn :()
8,Other,Ngta trang trí đẹp thế mà ông gạt phát chấm nhoe nhoét ra luôn . 🤣
9,Enjoyment,Mới đầu tưởng Khoa ăn hết gần 30tr chứ 😀
10,Surprise,"Trang trí chi cho mất thời gian Khoa nó lùa cái xong, khoái ở Khoa là ăn từ món ăn bình dân nhất cho tới sang trọng nhất cỡ nào cũng chơi 👍♥️"
11,Enjoyment,Chảy nước miếng mẹ rồi :3
12,Enjoyment,Ổng vào nhà vệ sinh review và kêu hấp dẫn á mắc cười 🤣🤣
13,Anger,anh đầu bếp thân thiện ghê .
14,Other,"Má, nấu + trang trí 1 món hết 20p, ông khoa ăn hết trong 20s, a đầu bếp chắc buồn lắm :))"
15,Other,Nhìn anh ăn những món này mà nước dải  chảy dài xuống dường luôn 😋
16,Sadness,Hóng review salt bae rắc muối:))
17,Enjoyment,Ổng nói nhìu lạy luôn á :))
18,Other,Ông khoa gặp người bếp VN khoái lắm nói bù cho mấy bữa trước ổng chỉ biết ok😂😂😂
19,Other,"Ai như tui.... xem ổng ăn bò mà mình thì ngồi cắn táo, mong 1 ngày cũng được như vầy :("
20,Other,Thích a review vì a ăn cái rụp r cảm nghĩ đơn giản còn bọn reviewer kia thì có 1 miếng nhỏ ăn tới ăn lui r nói tào lao
21,Enjoyment,Amazing Food never See :)
22,Sadness,"review rắc thính anh ơi, ủng hộ anh"
23,Enjoyment,Thoi lại dy nấu mì ăn thôi....
24,Enjoyment,Hóng review ông rắc thính
25,Disgust,"""Tao làm lẹ mày ăn, mày làm lẹ tao ăn. Xong đi về."""
26,Other,Rewiew nhà hàng vân sơn đi a
27,Other,Nhà vệ sinh hấp dẫn á kk cười ỉa vs ỗng 😂
28,Enjoyment,Tội nghiệp chị cameraman mãi mê lo quay ko ăn dc đồ ăn nguội hết rùi!=))
29,Enjoyment,review ấn độ đi anh ơi xem ăn như thế nào
30,Enjoyment,Khổ thân cameramen bị đói nhìn ông kia ăn ngon miệng :))
31,Enjoyment,"Thấy anh nhắc mới nhớ, hy vọng anh sẽ review món ""bò rắc thính"" của vua thịt bò 😂"
32,Enjoyment,Ông Khoa ổng hỏi kỹ tui thấy sợ 🤣
33,Sadness,Coi vd mà không ai khen anh đầu bếp vậy ta. Mình thấy cách anh ấy phục vụ nói chuyện cử chỉ hành động rất lịch sự và tôn trọng khách
34,Other,"Nhà xịn đầu bếp phục vụ chu đáo 
Mình cho like"
35,Other,Review nhà hàng 5 sao bêm dubai đi a
36,Enjoyment,Review caramen đi anh =)))
37,Enjoyment,A ra review akihabara đi
38,Enjoyment,"Ko mặc áo là rớt tay,đọc xong nghĩ mới hiểu và cười,,,, à nghe câu mời anh chị lên lầu,còn quay ở VN tốt nhất cất tay đi,mấy đứa nó xem clip xong nó thấy nó chặn đường mượn tay thì toi"
39,Other,"Anh làm ""rì viu"" món mỳ kéo sợi đỉnh ký ở 311 bãi sậy, phường 8 quận 1 đi anh"
40,Sadness,h mới biết trình độ bán mai của ổng cũng k phải dạng vừa kkk
41,Other,Cameraman là ai vậy anh khoa :v đề nghị 1 ngày cho chị cameraman review XD
42,Enjoyment,cần lắm clip show mặt cameraman!!!!!!!!
43,Enjoyment,"Bò Kobe này chưa chuẩn xuất xứ Nhật bản nuôi. Mới có uống bia, nghe nhạc, mát xa. Chuẩn bò Kobe Nhật bản ngoài tiêu chí trên còn phải xem Jav. Mới là loại Kobe thượng hạng."
44,Enjoyment,Review về Pakistan đi anh
45,Enjoyment,Hông biết ngon hay ko nhưng thấy nhân viên lịch sự như v là thích rồi
46,Other,bí mật nhất trong clip này: cách cameraman ăn
47,Enjoyment,Qua Thổ Nhỉ Kì ăn đi a Nam ơi
48,Other,. Chủ tịch cmt giả vờ để có vài lai và cái kết :v
49,Other,Cha này cũng ít có phá lắm nè....😂😂 Tay chân táy máy vãi... Mà tui thích thế....😁😁
50,Other,Review resort phương nam đi a
51,Other,Về hà tĩnh review kẹo cu đơ với a ơi.e mời
52,Enjoyment,Nhân viên nhiệt tình và tận tình quá 😁
53,Enjoyment,"lần này Khoa về Vn review đảm bảo được xem như ông Hoàng, không còn bị coi 2 lúa như trước nữa! 
Người vn vốn dĩ là thế, nhìn mặt bắt hình dong mà :)))"
54,Other,Review có mặt caramen luôn mới vui a ơi
55,Other,Qua thỗ nhĩ kì revew thánh rắc muối đi anh
56,Enjoyment,nữa a có tuyển cameramen cho em tham gia nha anh 🤣
57,Other,YouTube làm ăn kì quá h mới thấy thông báo
58,Other,qua nhật ăn set sasimi đi a
59,Other,Anh khoa ơi anh review về nhà của anh đi ❤️❤️
60,Other,qua thổ nhĩ kì review ông đó rắc muối đi ah khoa ơi **)
61,Enjoyment,Khoa review A Mà Kitchen cũng ở đương Tôn Đức Thắng lun ah
62,Enjoyment,Nghe a đầu bếp nói dạ dạ thấy thương ghê
63,Enjoyment,An bo Kobe va uong Coke... ^^'
64,Enjoyment,a ơi cho e làm cameraman của a đc k. khỗi lương cũng đc🤣🤣
65,Enjoyment,cô ca cô ciết :)) chất
66,Other,"Chú đi review Salt Bae cận cảnh đi ạ,  mog chú ạ....."
67,Other,Về tới vn ổng nói tía lia như cá gặp nước. Mấy video kia nói tiếng anh chắc mỏi tay lắm rồi :))
68,Enjoyment,"Rất thích anh, những video a review kiểu cách rất tự nhiên, gần gũi. Chúc anh nhiều sức khỏe và thành công!"
69,Enjoyment,Qua hẳn Istanbul ăn bít tết của saltbae luôn a ơi
70,Enjoyment,đi các tỉnh thành khác đi a khoa
71,Other,Dubai thẳng tiến đi a
72,Other,Ăn gì thì ăn k bao giờ quên giới thiệu nhà vệ sinh. Cậu hài thế
73,Other,Phở 920k landmark 81 đi Bạn khoa!
74,Other,Reveiw cộng hoà séc đi anh
75,Sadness,Fan ruột của anh!
76,Other,Chết cười với ổng !
77,Enjoyment,Sao e thấy khổ cameraman vậy ? Cứ phải nhìn a khoa ăn :))
78,Enjoyment,"Ngồi nhà hàng mà nhìn ông Khoa ăn, mình tưởng anh nhà bên nào.! : ))) Khổ ông ghê."
79,Enjoyment,anh qua thổ nhĩ kì riview ong rắt muối di
80,Other,muốn chính gốc là bay qua nhật vào trại mổ bò kobe rồi tự tay sẻ thịt mang về tự nấu thế là anh em hết cải nhau kkk
81,Other,Qua ông rắc thính đi a
82,Enjoyment,"nữ chỉ thiên về cảm xúc là chính thôi , và rất hay giận hơn vu vơ =))))"
83,Other,Dịch ko được xem anh đi ăn uống nữa buồn mặc dù xem hết video a rồi mà nhờ ghiền phải xem lại :))
84,Other,"anh khoa khi nào qua cam pu chia em làm thông dịch viên cho anh nha,"
85,Enjoyment,"Ông này khoái review nhà vệ sinh kkk
Gặp toàn người Việt nên thik nhây hỏi nhiều 
Đọc cái dòng chữ Viétub mà cười sặc haha"
86,Enjoyment,"Cameramen chắc ghệ ổng,  kêu anh chị suốt"
87,Surprise,"Khoa ơi đi Nhật Bản đi em.
Nơi đáng để đi du lịch đó e"
88,Fear,anh cứ các bạn liên tục luôn :v
89,Other,anh khoa thích ăn nhanh gọn lắm cái j mà nhanh thì anh càng thích  mà video chs  hẳn  1 tiếng luôn :))
90,Other,Biết khi nào em mới được ăn ngon như anh chỉ dám xem clip r ăn cơm thôi có ae nào như mình k
91,Other,Decor xong cái đĩa nguội mẹ thức ăn rồi :v
92,Enjoyment,Qua thổ nhĩ kì đi a ơi
93,Other,Mình thấy anh này làm tinh tế hơn chị đầu bếp trước. =))
94,Other,"Đưa salt bea làm ý :))
Rắc rắc :)))"
95,Enjoyment,xem anh đầu bếp không uổng 1 tiếng cuộc đời :)
96,Other,Khoa nho preview bun bo A6 khu biet thu Thanh Da nha rat ngon o BinhQuoi Quan binh thanh
97,Other,Sinh ra ở vạch đích :)))))
98,Other,"hôm nào a quay cho bạn gái a ăn và cảm nhận đồ ăn đi , cho bạn gái quay quài tới lượt a quay đi 😁"
99,Enjoyment,Bà mẹ ... đang đói mà vô coi kênh ông này ... chảy hết mồ hôi lưỡi 😂😂
